rank,hotel_slug,hotel_name,location,stars,rooms,adr_chf,segment,revenue_proxy_chf,priority_score,buy_likelihood_3k,buy_likelihood_5k,delay_likelihood_12m,recommended_price_band,primary_wedge,primary_blocker,deal_killer,deal_killer_raw,outreach_angle,gm_confidence,cm_confidence,disagreements
25,hotel-christiania-mountain-spa,Christiania Mountain & Spa,Zermatt,4,72,409.13,upper_upscale,7311317,47,43,18,65,1000_2000,"Owner-ready 90-day Swiss-hosted pilot tied to a defensible direct-revenue KPI (+8–10%), with pre-validated PMS/booking-engine integration and a clear weekly action board that replaces one agency task.",Attribution uncertainty (seasonality and channel-mix confounders) plus integration complexity/costs and owner skepticism of recurring OPEX.,No PMS/CRM integration,"If direct-booking uplift cannot be credibly proven within the pilot window (due to missing PMS/BE integration or weak attribution), the deal will not proceed.","Propose a 60-day, Swiss-hosted pilot scheduled for shoulder season. Commit to: (1) rapid PMS/booking-engine integration and a pre-agreed DPA, (2) a baseline and ROI calculator that normalizes for seasonality/compset, (3) weekly ‘3-task’ action lists with EN/DE/FR content, (4) live dashboard and reference from a similar Swiss alpine property, (5) monthly opt-out and partial performance pricing if the 10% target isn’t met. Keep team lift minimal and avoid new media spend; focus on conversion, segmentation, and direct-offer testing that respects parity.",medium,high,"deal_killer: GM=""If direct-booking uplift cannot be credibly proven within the pilot window (due to missing PMS/BE integration or weak attribution), the deal will not proceed."" vs CM=""No measurable uplift in direct bookings or conversion within the agreed proof period"""
26,hotel-deltapark-vitalresort,Deltapark Vitalresort,Gwatt (Thun),4,87,288.51,upper_upscale,6229912,47,42,21,65,1000_2000,Seasonality-normalized pilot that turns review/compset signals into 3–5 prioritized weekly actions and proves direct-channel impact with clean attribution.,"Owner/CFO skepticism about causal direct‑revenue lift and reluctance to add recurring SaaS spend, compounded by integration timelines and vendor overlap.",No PMS/CRM integration,No reliable PMS/booking‑engine integration to attribute direct revenue impact.,"Propose a low‑risk, Swiss‑hosted 90‑day pilot scheduled for shoulder/low season. Start with a 2‑week integration and data audit (PMS/BE, review, compset). Set a single KPI (e.g., +5–8% direct revenue or +5pp web conversion vs. baseline). Deliver a weekly prioritized action list, multilingual offer templates (DE/EN/FR/IT), and rate guidance. Provide a Swiss wellness/luxury reference, ROI calculator, clear SLAs, and monthly opt‑out. Position budget as a swap from agency/reporting spend rather than net‑new opex; offer white‑glove onboarding and a performance‑linked milestone review at day 90.",medium,medium,"deal_killer: GM=""No reliable PMS/booking‑engine integration to attribute direct revenue impact."" vs CM=""No credible attribution of ≥5% direct revenue uplift within a normalized pilot window or inability to secure PMS/booking-engine integration with Swiss/FADP-compliant data handling."""
27,hotel-ermitage-wellness-spa-hotel,ERMITAGE Wellness- & Spa-Hotel,Schönried,5,96,344.75,luxury,8214427,47,44,20,65,1000_2000,"A weekly action dashboard that ties PMS data to 3–5 prioritized commercial tasks (pricing, offers, content) with compset alerts and clear attribution to direct revenue.","Owner/CFO skepticism on ROI and attribution, compounded by integration complexity and incumbent agency overlap.",No PMS/CRM integration,"No reliable, secure integration with the PMS/booking engine preventing accurate attribution and recommendations.","Lead with attribution and Swiss compliance: offer a 60-day Swiss-hosted pilot anchored on a pre-agreed direct-booking baseline, focused on shoulder dates. Commit to certified PMS/CRS integration first, deliver a weekly action list the team can execute in under 2 hours, and provide an ROI calculator with shared dashboards for GM/Owner/Finance. Bring two Swiss alpine luxury references and a light performance clause (e.g., partial fee credit if baseline KPIs not met). Position as replacing part of agency/reporting spend rather than net-new cost; schedule onboarding for the shoulder/off-season to minimize disruption.",medium,medium,"deal_killer: GM=""No reliable, secure integration with the PMS/booking engine preventing accurate attribution and recommendations."" vs CM=""No PMS/booking-engine integration and inability to demonstrate measurable direct-booking uplift within a 90-day pilot"""
28,hotel-fairmont-le-montreux-palace,Fairmont Le Montreux Palace,Montreux,5,236,628.37,luxury,36806898,47,43,23,70,2000_3000,"A brand-safe, read-only 90-day pilot that delivers weekly prioritized commercial actions and measurable direct uplift using existing BE/GA4 data, avoiding deep Accor integrations until ROI is proven; then step up to integrated tier.",Accor corporate procurement/IT gatekeeping and perceived duplication with brand tooling (and resulting security/compliance overhead).,No PMS/CRM integration,Inability to integrate with core PMS/CRS and corporate systems or corporate/legal refusal to permit required data access.,"Open with an overlap audit: 30-minute session with GM + Director of Revenue to map what Accor tools already cover and pinpoint 2–3 gaps (weekly actioning, AI visibility, multilingual conversion content). Propose a brand-safe 90-day Swiss-hosted pilot using public compset data, GA4/direct-channel metrics and review analytics—no PII, minimal integration at start. Deliver a weekly commercial playbook tied to event peaks (e.g., Montreux Jazz) and shoulder periods, with a conservative ROI calculator. If KPIs show >5% direct revenue or conversion lift, pre-negotiate a path to deeper PMS/CRS integration with Accor stakeholders. Provide Swiss luxury references, security documentation, and a clear DPA; price at ~CHF 3k with monthly opt-out and white-glove onboarding; frame as complementary to Accor stack to avoid duplication concerns.",low,low,"deal_killer: GM=""Inability to integrate with core PMS/CRS and corporate systems or corporate/legal refusal to permit required data access."" vs CM=""Inability to integrate or access required PMS/CRS/brand data under Accor governance and security requirements."""
29,hotel-grand-hotel-europe,Grand Hotel Europe,Luzern,4,177,267.32,business_conference,11743742,47,42,17,62,1000_2000,"Attribution-first 90-day pilot with PMS/booking-engine integration, Swiss-hosted option, and weekly owner-ready action reports proving direct-booking uplift.",Owner/Finance proof gate on measurable attribution plus GDPR/Swiss-hosting legal review and IT integration windows.,No PMS/CRM integration,No secure integration path with PMS/booking engine or inability to guarantee GDPR-compliant data handling / Swiss hosting.,"Propose an attribution-first 90-day pilot starting in a shoulder season: connect PMS/booking engine and GA4 (read-only), host data in Switzerland with a DPA, deliver a weekly one-page action plan and uplift report tied to GM/Owner KPIs. Include 2 Swiss references, white-glove onboarding, a clear SLA, and performance-linked pricing (discount if uplift < agreed threshold) with monthly opt-out until ROI is proven. Position as a consolidation of existing compset/reputation/agency spend rather than net-new budget.",high,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No secure integration path with PMS/booking engine or inability to guarantee GDPR-compliant data handling / Swiss hosting."" vs CM=""No reliable PMS/CRS integration."""
30,hotel-grandhotel-giessbach,Grandhotel Giessbach,Brienz BE,4,74,530.56,upper_upscale,9744689,47,44,19,65,1000_2000,"A low-risk, Swiss-hosted 60-day pilot focused on a weekly actionboard (compset + content + review insights) that saves the small team time and ties actions to auditable on-site conversion and direct-share metrics.",Owner veto on recurring SaaS spend without airtight attribution and Swiss data residency; potential overlap with existing revenue/pricing tools.,Cannot prove attribution / ROI,No measurable and attributable increase in direct bookings within the agreed pilot window.,"Lead with a Swiss-hosted, 60–90 day pilot starting in a shoulder period. Price at CHF 2.0–2.5k/month during pilot with monthly opt‑out; predefine success as +3–5 pp direct share or +5–10% direct revenue. Commit to PMS/booking engine integration workshop in week 1, deliver an attribution plan (control periods, tagged offers, source‑of‑truth rules), and produce a weekly DE/EN/FR action list tied to projected CHF impact. Provide 1–2 Swiss alpine/luxury references, a GDPR/DPA pack, and a light ROI calculator for Owner review. Offer to align with existing RMS to avoid conflicts and include white‑glove onboarding with no extra fees.",medium,medium,"deal_killer: GM=""No measurable and attributable increase in direct bookings within the agreed pilot window."" vs CM=""No reliable PMS/booking-engine integration (no data integration) or inability to prove measurable uplift in direct bookings within the agreed proof window"""
31,hotel-hotel-laudinella,Hotel Laudinella,St. Moritz,4,185,266.5,business_conference,12236881,47,43,20,65,1000_2000,"Turn scattered review, pricing and booking data into a single weekly action pack that measurably lifts direct bookings while saving the small team time.",PMS/CRS integration dependencies plus owner risk aversion without Swiss references and a contractual performance safeguard.,No PMS/CRM integration,no PMS/CRM integration or inability to access booking/rate data for measurable attribution,"Propose a Swiss-hosted, integration-first 90-day pilot scheduled for shoulder season. Pre-validate PMS/booking-engine data flows, deliver a weekly DE/EN decision pack tied to a clear success metric (≥5% direct revenue uplift or +3–5% net RevPAR), and offer performance-linked pricing with a monthly opt-out. Bring 1–2 Swiss references, a live dashboard demo, and an ROI calculator. Position as a replacement for fragmented review/compset tools and manual reporting, with white-glove onboarding that avoids peak-season disruption.",high,high,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""no PMS/CRM integration or inability to access booking/rate data for measurable attribution"" vs CM=""Inability to integrate with PMS/booking engine sufficiently to attribute impact and automate next steps."""
32,hotel-hotel-riffelalp-resort-2222-m,Hotel Riffelalp Resort 2222 m,Zermatt,5,70,892.71,luxury,15509944,47,43,20,66,1000_2000,"Low‑risk 60–90 day Swiss‑hosted pilot with PMS/BE integration and auditable direct‑revenue attribution, backed by Swiss luxury references and a performance clause.",ROI attribution credibility plus integration/legal timelines (GDPR/Swiss hosting) and multi-stakeholder governance at a seasonal luxury resort.,No PMS/CRM integration,No reliable PMS/booking-engine integration and inability to run a credible attribution framework demonstrating direct revenue uplift; lack of a Swiss luxury reference exacerbates risk.,"Propose a 60-day, attribution-rigorous pilot scheduled for the shoulder season. Include Swiss-hosted GDPR compliance, a clear PMS/CRS integration scope, and references from comparable Swiss luxury properties. Commit to a weekly, operator-light action list and a mutually agreed measurement plan (holdout/geo or before–after with controls). Price in the CHF 2k band during pilot with monthly opt-out until KPI is met; discuss CHF 3k only after proven uplift.",medium,medium,"deal_killer: GM=""No reliable PMS/booking-engine integration and inability to run a credible attribution framework demonstrating direct revenue uplift; lack of a Swiss luxury reference exacerbates risk."" vs CM=""No Swiss‑GDPR hosting and/or inability to integrate cleanly with PMS/booking engine for reliable attribution."""
33,hotel-kempinski-palace-engelberg,Kempinski Palace Engelberg,Engelberg,5,129,806.03,luxury,25807307,47,45,19,70,2000_3000,"A brand-safe, Swiss-hosted pilot that turns existing compset/review signals into a weekly action plan tied to +5% direct-room revenue; Opera/BE integration and clear ROI attribution; not another dashboard.",Brand/regional signoff due to overlap with Kempinski central revenue/commercial systems and strict IT/security/data-governance requirements.,No PMS/CRM integration,No reliable PMS/CRS integration and inability to guarantee Swiss/GDPR-compliant data hosting.,"Position as a brand-compliant, Swiss-hosted add-on that augments Kempinski tools with a weekly commercial action layer. Offer a low-season 90-day pilot with PMS/CRS integration, a Swiss luxury reference call, full security/DPAs ready for Kempinski review, and monthly opt-out. Commit to white-glove onboarding, no rate-parity conflicts, and a simple ROI scorecard owned by the Revenue Manager; involve the regional revenue lead early to de-risk duplication concerns.",low,medium,"deal_killer: GM=""No reliable PMS/CRS integration and inability to guarantee Swiss/GDPR-compliant data hosting."" vs CM=""Corporate/brand refusal or failure to secure PMS/booking-engine integration and a Swiss/GDPR-compliant DPA."""
34,hotel-lausanne-palace,Lausanne Palace,Lausanne,5,139,351.26,luxury,12118400,47,44,18,65,1000_2000,"Opera-integrated, Swiss-hosted 90-day pilot proving +direct-booking impact with a weekly action board tied to compset shifts and VOC insights.","Owner/CFO reluctance to approve recurring SaaS without ironclad, attributable revenue proof; procurement/IT gatekeeping and agency overlap concerns.",No PMS/CRM integration,"No secure, low-friction Opera PMS/CRM integration and inability to guarantee Swiss/GDPR-compliant hosting.","Lead with a Swiss-hosted, Opera-ready 90-day pilot that delivers a quantified direct-booking uplift and a weekly action board; include luxury Swiss references, minimal IT lift, white-glove onboarding, ROI calculator, and a flexible contract (monthly opt-out or performance component).",high,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No secure, low-friction Opera PMS/CRM integration and inability to guarantee Swiss/GDPR-compliant hosting."" vs CM=""No PMS/booking engine integration and no Swiss/GDPR-compliant hosting (cannot attribute revenue or meet data residency)."""
35,hotel-mandarin-oriental-palace-luzern,"Mandarin Oriental Palace, Luzern",Luzern,5,136,638.14,luxury,21540543,47,45,22,70,2000_3000,"Pilot a weekly data-to-actions playbook tied to PMS/CRS data that proves incremental direct revenue without displacing brand systems, delivered with Swiss-hosted compliance.","MOHG corporate procurement/commercial governance and data-security approval, including PMS/CRS integration and brand-compliance concerns.",No PMS/CRM integration,No credible PMS/CRS-CRM integration and inability to meet Swiss/EU GDPR hosting requirements.,"Lead with a 60-day Swiss-hosted pilot scoped for property-level execution, pre-aligned to MOHG data/privacy standards. Emphasize complementarity with brand tools, minimal IT lift, and a clear attribution plan for direct revenue (baseline vs test pages/offers). Provide a Swiss luxury reference and commit to a performance component at renewal if targets are met.",low,low,"deal_killer: GM=""No credible PMS/CRS-CRM integration and inability to meet Swiss/EU GDPR hosting requirements."" vs CM=""Inability to integrate with PMS/brand systems or any violation of Mandarin Oriental group data/security policies."""
36,hotel-park-hyatt-zurich,Park Hyatt Zurich,Zürich,5,138,733.5,luxury,25123549,47,45,22,70,2000_3000,"Start with a non-PII, zero-integration commercial playbook plus multilingual content and public compset signals that augment (not replace) Hyatt tools; run as a Swiss-hosted, 90-day property-led pilot.",Hyatt corporate procurement/IT security governance and overlap with brand-provided revenue/compset tooling.,No PMS/CRM integration,No secure PMS/CRS integration path or inability to meet Swiss/EU GDPR hosting and Hyatt brand data policies.,"Propose a 90-day Swiss-hosted pilot at CHF 3k with monthly opt-out, starting read-only via secure exports while corporate integration review proceeds. Define success as +5% relative direct share and time-saved in weekly commercial meetings. Bring Swiss luxury references, a Hyatt-friendly integration plan (no write-backs until approved), full InfoSec/DPA pack, and an ROI calculator mapped to agency spend and staff time. Position as a decision engine layered on top of existing Hyatt stack—minimizing overlap and showing clear replacement of agency hours rather than duplicating brand tools.",low,low,"deal_killer: GM=""No secure PMS/CRS integration path or inability to meet Swiss/EU GDPR hosting and Hyatt brand data policies."" vs CM=""No secure, supported path to PMS/brand integration and no Swiss/EU GDPR-compliant hosting option for any required data flows."""
37,hotel-radisson-blu-hotel-reussen-andermatt,"Radisson Blu Hotel Reussen, Andermatt",Andermatt,4,179,398.53,upper_upscale,17705811,47,44,19,68,1000_2000,"Weekly decision engine that translates scattered data into prioritized actions and measurable direct-booking uplift, positioned as a complement (not a replacement) to Radisson tools with Swiss-hosted compliance.",Radisson corporate IT/procurement approvals and data-sharing restrictions on third‑party integrations.,No PMS/CRM integration,No reliable PMS/booking‑engine integration or inability to meet Swiss/GDPR data‑residency requirements.,"Lead with compliance and complementarity: Swiss/GDPR hosting, read-only PMS/BE integration to start, no conflict with Radisson tools, and a 90-day shoulder-season pilot focused on direct-share and compset-driven pricing actions. Bring a security pack (DPA, ISO), Oracle/Opera integration plan, Swiss alpine references, and an ROI model (e.g., 1–2 incremental direct bookings/day covers fee). Offer monthly opt-out after the pilot and white-glove onboarding to minimise team lift. Engage owner/asset manager early with a clear governance map and brand-friendly positioning (advisory insights, not parity-breaking automations).",low,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No reliable PMS/booking‑engine integration or inability to meet Swiss/GDPR data‑residency requirements."" vs CM=""No reliable PMS/CRS integration or inability to access booking-level data to measure RevPAR/direct booking impact."""
38,hotel-resort-hof-weissbad,Resort Hof Weissbad,Weissbad,4,90,440.91,upper_upscale,9849048,47,44,18,65,1000_2000,"60-day, Swiss-hosted pilot with PMS integration that delivers weekly GM-ready actions and proves direct revenue/time savings before any long commitment.","Owner reluctance to approve recurring CHF 3–5k without multi-quarter, clearly attributable ROI; compounded by potential PMS/booking-engine integration delays.",No PMS/CRM integration,No reliable PMS/booking engine integration or inability to ensure Swiss/GDPR-compliant hosting and attribution.,"Propose a 60-day Swiss-hosted pilot focused on direct revenue and time savings: integrate PMS/booking engine, deliver weekly prioritized actions, and track uplift with an ROI dashboard using their ADR/occupancy. Price the pilot modestly with a monthly opt-out, provide Swiss wellness references and white-glove onboarding; convert to ~CHF 3k only if KPIs are met, with an annual-discount option.",high,high,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No reliable PMS/booking engine integration or inability to ensure Swiss/GDPR-compliant hosting and attribution."" vs CM=""No reliable PMS/booking-engine integration or inability to demonstrate measurable direct-booking uplift within the agreed proof period."""
39,hotel-schloss-zermatt,SCHLOSS Zermatt,Zermatt,4,61,374.9,upper_upscale,5676061,47,43,18,65,1000_2000,"Time a 90-day, Swiss-hosted, PMS-integrated pilot for the April–June shoulder season, deliver weekly German/English action lists, and tie success to a ≥10% direct-booking uplift with a performance/pricing option and monthly opt‑out.",Attribution credibility in a seasonal market and owner signoff on recurring SaaS (>CHF 3k); plus possible integration/IT delays.,No PMS/CRM integration,"No credible, attributable uplift in direct bookings within the agreed pilot window (or failure to meet Swiss-hosted GDPR/PMS integration requirements).","Propose a 90-day, attribution-focused pilot scheduled outside peak season: include PMS/BE integration, Swiss hosting, and 2–3 Swiss alpine wellness references. Define a direct-booking KPI with a holdout/benchmark (e.g., OTA code tracking, geo/time-based control) and deliver a weekly 1-page action plan. Position price at CHF 2.5–3k with annual prepay discount and a path to retire some agency/reputation tooling to offset cost.",medium,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No credible, attributable uplift in direct bookings within the agreed pilot window (or failure to meet Swiss-hosted GDPR/PMS integration requirements)."" vs CM=""Failure to prove measurable direct-booking uplift within the pilot window or inability to achieve reliable PMS/booking‑engine integration for measurement."""
40,hotel-six-senses-crans-montana,Six Senses Crans-Montana,Crans-Montana,5,76,740.83,luxury,13974424,47,45,20,70,2000_3000,Pilot-backed direct-booking uplift with PMS/CRS-integrated weekly action playbooks that reduce agency/content workload and sharpen compset-driven pricing decisions.,"Brand/group vendor governance and data-security approvals that restrict or delay PMS/CRM integrations, risking an inconclusive pilot.",No PMS/CRM integration,No reliable PMS/CRM integration or inability to prove measurable direct-booking/RevPAR uplift within the proof window; or brand/group IT explicitly blocks third‑party integrations.,"Position as a complement to brand systems: propose a Swiss-hosted, GDPR-compliant 90-day pilot starting in shoulder season, front-loaded with PMS/CRM integration work and a written success metric (>=3–5% direct uplift). Offer references from comparable Swiss luxury alpine properties, map overlap vs. brand tools, and secure brand IT pre-check before contracting. Include clear exit clauses and option to pause during peak season.",low,low,"deal_killer: GM=""No reliable PMS/CRM integration or inability to prove measurable direct-booking/RevPAR uplift within the proof window; or brand/group IT explicitly blocks third‑party integrations."" vs CM=""No credible proof of measurable direct-booking/RevPAR uplift for comparable luxury alpine properties within an initial pilot period."""
41,hotel-storchen-zuerich,Storchen Zürich,Zürich,5,64,767.73,luxury,12195238,47,43,20,63,2000_3000,"Prove uplift fast: a 60–90 day, PMS-attributed pilot delivering a weekly action digest (price, channels, micro-campaigns) plus multilingual content—positioned as consolidation of overlapping tools, not another dashboard.",Owner/Finance ROI skepticism combined with GDPR/legal review and overlap with incumbent agency/tooling contracts.,No PMS/CRM integration,No reliable PMS/booking-engine integration and inability to meet Swiss-hosted GDPR requirements.,"Lead with a live dashboard demo on their Zurich compset + ROI calculator, then propose a 90-day, performance-tied pilot (credits if KPIs missed), include Swiss-hosted deployment, white-glove PMS/BE integration, and a plan to offset cost by consolidating existing agency/tooling.",medium,medium,"deal_killer: GM=""No reliable PMS/booking-engine integration and inability to meet Swiss-hosted GDPR requirements."" vs CM=""No reliable integration with PMS/booking engine or inability to demonstrate measurable direct booking uplift."""
42,hotel-the-alpina-gstaad,The Alpina Gstaad,Gstaad,5,56,690.3,luxury,9594618,47,43,22,66,2000_3000,"Translate scattered intel into a weekly, owner‑ready action plan that saves time and lifts direct revenue, proven with PMS/BE attribution and Swiss‑hosted data.","Owner skepticism around recurring fees without ironclad attribution, plus overlap/resistance from existing agencies.",No PMS/CRM integration,Failure to demonstrate attributable direct booking/revenue uplift within the agreed proof period or inability to complete PMS/CRS integration.,"Lead with two Swiss luxury references and a live dashboard demo, then propose a low-season start to a 90-day pilot with Swiss-hosted GDPR compliance, PMS/CRS integration, and a pre-agreed attribution plan (control segments and KPI definitions). Frame it as complementing—not replacing—current agencies, with a concise weekly action brief and guardrails to protect brand tone and pricing. Offer monthly opt-out after the pilot and a clear ROI calculator aligned to direct revenue and conversion. Set expectations on integration (30–45 days if needed) and assign a dedicated success manager to minimize team lift.",medium,medium,"deal_killer: GM=""Failure to demonstrate attributable direct booking/revenue uplift within the agreed proof period or inability to complete PMS/CRS integration."" vs CM=""No secure PMS/CRM integration"""
43,hotel-ameron-swiss-mountain-hotel-davos,AMERON Swiss Mountain Hotel Davos,Davos Platz,4,148,320.29,upper_upscale,11765405,46,38,19,62,1000_2000,"Weekly, shoulder-season-focused commercial playbook + compset/WEF-ski peak alerts that close obvious revenue leaks and lift direct share, with clear tracking to the booking engine.",Owner/group procurement and legal/IT reviews plus overlap with existing RMS/agency workflows causing ROI skepticism and integration delays.,No PMS/CRM integration,Inability to integrate with PMS/booking engine and provide Swiss/EU GDPR-compliant hosting and DPA.,"Lead with a 60–90 day shoulder-season pilot focused on direct conversion and shoulder-night revenue: integrate PMS/booking engine, prove weekly decisioning impact on Fri/Sun fill and DE/EN content velocity, and include a light CRO+traffic plan (coordination with their agency) to avoid the “no-traffic, no-uplift” objection. Provide Swiss hosting/DPA pack, named AM, and 2–3 Alpine references. Anchor pricing at 2k–3k with monthly opt-out; offer performance/ROI checkpoint at day 60 to de-risk procurement.",medium,high,"deal_killer: GM=""Inability to integrate with PMS/booking engine and provide Swiss/EU GDPR-compliant hosting and DPA."" vs CM=""No verifiable, trackable improvement in direct bookings or RevPAR during an agreed short pilot period (i.e., inability to prove ROI)."""
44,hotel-beausite-zermatt,BEAUSiTE Zermatt,Zermatt,4,67,745.72,luxury,12400876,46,44,15,66,1000_2000,Reallocate part of agency spend into a Swiss-hosted 60-day pilot tied to a direct-booking uplift KPI and a weekly actions dashboard that saves team time.,PMS/booking-engine integration complexity and seasonal timing (plus legal review for Swiss/GDPR hosting) delaying credible measurement and Owner sign-off.,No PMS/CRM integration,No reliable PMS/booking-engine integration to attribute and verify direct-booking uplift.,"Lead with a 90-day, Swiss-hosted pilot priced in the CHF 2k range, scoped around PMS/booking-engine integration and a clear attribution plan. Time it for the next shoulder season. Commit to white-glove onboarding (integration handled by us), weekly 30-minute cadence, and a success scorecard focused on direct-booking uplift and OTA commission savings. Provide 2–3 Swiss luxury references, a live dashboard demo with their compset, and a monthly opt-out. Offer to absorb or credit part of any PMS API/setup fees and include a performance-pricing or annual-discount path post-pilot if targets are met.",medium,medium,"deal_killer: GM=""No reliable PMS/booking-engine integration to attribute and verify direct-booking uplift."" vs CM=""No credible, verifiable proof of measurable uplift in direct bookings or direct booking revenue within the agreed proof window."""
45,hotel-bergwelt-grindelwald,Bergwelt Grindelwald,Grindelwald,4,90,311.33,upper_upscale,6954490,46,41,17,65,1000_2000,"Clear, one-page weekly commercial action plan for a small team that ties compset signals to direct-booking uplift and avoids an additional hire.","Owner/finance risk aversion to recurring SaaS without proven uplift, compounded by PMS/GDPR integration and small-team bandwidth constraints.",No PMS/CRM integration,Failure to demonstrate measurable direct-revenue uplift during the pilot or inability to integrate with PMS without adding manual work.,"Lead with a Swiss-hosted, GDPR-compliant 60-day pilot scheduled for a shoulder-season window. Promise light-touch PMS integration (read-only to start), weekly concierge support to ensure >70% action execution, and a single KPI: +5% direct room revenue or +3pp direct-share within 60–90 days. Offer pilot at CHF 2k/month with a performance step-up to CHF 3k only if KPI is hit; monthly opt-out, no long lock-in. Provide a Swiss/luxury reference (or adjacent alpine case) and a simple ROI calculator tied to OTA savings. Frame as replacing fragmented tools and management time rather than new net spend.",medium,high,"deal_killer: GM=""Failure to demonstrate measurable direct-revenue uplift during the pilot or inability to integrate with PMS without adding manual work."" vs CM=""No reliable PMS/booking-engine integration for attribution or inability to produce/verify measurable direct-booking uplift."""
46,hotel-boutique-sorell-hotel-seidenhof,Boutique Sorell - Hotel Seidenhof,Zürich,4,78,558.27,upper_upscale,10807884,46,42,18,68,1000_2000,"Turn scattered data into a single weekly action list (pricing, campaigns, content) that saves the small team hours and defensibly lifts direct bookings 5–10% while protecting ADR vs the Zurich boutique compset.",Owner/finance sign-off thresholds (≥CHF 2k) and group brand/IT controls; integration timeline/cost with PMS/BE.,No PMS/CRM integration,No Swiss/GDPR-compliant hosting or inability to integrate with PMS/booking-engine data to measure direct uplift.,"Lead with compliance and certainty: confirm Swiss/GDPR hosting and name the exact PMS/BE integrations you support for Sorell. Propose a 90-day, performance-linked pilot timed for a shoulder season, priced in the CHF 1.8–2.5k range with monthly opt-out. Commit to white-glove onboarding, a clear SLA on integration milestones, and success metrics focused on direct-channel conversion/uplift with a shared ROI calculator. Provide 1–2 Swiss boutique references and a live dashboard demo using Zurich compset data. Position as replacing agency/managerial analysis time and consolidating review/compset intel rather than net-new spend.",medium,low,"deal_killer: GM=""No Swiss/GDPR-compliant hosting or inability to integrate with PMS/booking-engine data to measure direct uplift."" vs CM=""No reliable PMS/booking‑engine integration or failure to demonstrate a measurable direct‑booking uplift within the agreed pilot window."""
47,hotel-central-plaza-hotel,Central Plaza Hotel,Zürich,4,103,308.07,upper_upscale,7875686,46,39,17,62,1000_2000,"A 90-day, Swiss-hosted pilot that unifies compset signals and turns PMS data into a prioritized weekly action list tied to direct revenue KPIs, with clear replacement of overlapping tools.","Integration/data access complexity and cost with the PMS/booking engine, plus IT/legal review for Swiss hosting and data flows.",No PMS/CRM integration,Failure to secure reliable PMS/booking-engine integration or to demonstrate measurable direct revenue lift during the pilot.,"Propose a 90-day Swiss-hosted pilot with a flat, included integration package and performance-linked extension. Anchor on replacing parts of compset/reputation spend and quantifying a 5–8% direct revenue uplift. Start with a 20-minute diagnostic to confirm PMS/booking engine and current tool stack, share a Swiss reference case, and provide a procurement-ready pack (GDPR/SLA, data map, API access plan). Commit to a weekly action cadence and ROI dashboard; owner sign-off targeted for the next budget window.",high,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""Failure to secure reliable PMS/booking-engine integration or to demonstrate measurable direct revenue lift during the pilot."" vs CM=""No reliable integration with PMS/booking data to attribute direct-booking impact."""
48,hotel-cresta-palace-celerina,Cresta Palace Celerina,Celerina/Schlarigna,4,90,449.06,upper_upscale,10031102,46,40,18,65,1000_2000,"CHF-attributed direct revenue uplift proven via PMS/booking-engine integration + a weekly, time-saving decision list tailored to alpine luxury seasonality with Swiss-hosted data.","Owner/CFO approval contingent on verifiable CHF attribution and data residency, plus possible PMS connector delays/costs.",No PMS/CRM integration,No reliable PMS/booking-engine integration and/or inability to meet Swiss/GDPR data residency requirements.,"Lead with a CHF-ROI pilot: commit to named PMS/booking-engine integrations with a 30-day integration SLA, Swiss-hosted data, and a baseline/measurement plan. Propose a 60–90 day pilot launching in shoulder season, with monthly opt-out and optional performance-based tranche post-pilot. Bring a Swiss alpine luxury reference, a live dashboard demo with compset alerts, and a workflow showing <2 hours/week of team time. Include an ROI calculator converting % direct-share gains into CHF and outline exact data/privacy documentation for legal signoff.",high,high,"deal_killer: GM=""No reliable PMS/booking-engine integration and/or inability to meet Swiss/GDPR data residency requirements."" vs CM=""No reliable PMS/booking engine integration to attribute impact and prove direct booking uplift within the pilot window."""
49,hotel-frutt-mountain-resort,Frutt Mountain Resort,Melchsee-Frutt,4,114,625.1,upper_upscale,17687079,46,40,18,65,1000_2000,"Seasonality-adjusted 90-day pilot delivering weekly prioritized actions (compset + VoC) with Swiss-hosted data and guaranteed PMS integration, tied to a performance component.","Owner/Finance reluctance to commit to recurring OpEx without low-risk guarantees, compounded by seasonal attribution noise and potential integration delays/costs.",No PMS/CRM integration,No reliable PMS/booking-engine integration for attribution or inability to demonstrate measurable direct revenue uplift within the agreed proof period.,"Propose a 90-day, Swiss-hosted pilot starting just after peak season, with PMS/booking-engine integration, a clear KPI (>=5% direct revenue uplift or conversion gain), weekly action board, white-glove onboarding, and monthly opt-out/performance-backed pricing. Provide a comparable Swiss mountain/wellness reference and a concrete ROI calculator tied to agency spend/time saved.",medium,medium,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No reliable PMS/booking-engine integration for attribution or inability to demonstrate measurable direct revenue uplift within the agreed proof period."" vs CM=""No reliable PMS/booking-engine integration or inability to meet Swiss/EU GDPR hosting requirements."""
