rank,hotel_slug,hotel_name,location,stars,rooms,adr_chf,segment,revenue_proxy_chf,priority_score,buy_likelihood_3k,buy_likelihood_5k,delay_likelihood_12m,recommended_price_band,primary_wedge,primary_blocker,deal_killer,deal_killer_raw,outreach_angle,gm_confidence,cm_confidence,disagreements
48,hotel-cresta-palace-celerina,Cresta Palace Celerina,Celerina/Schlarigna,4,90,449.06,upper_upscale,10031102,46,40,18,65,1000_2000,"CHF-attributed direct revenue uplift proven via PMS/booking-engine integration + a weekly, time-saving decision list tailored to alpine luxury seasonality with Swiss-hosted data.","Owner/CFO approval contingent on verifiable CHF attribution and data residency, plus possible PMS connector delays/costs.",No PMS/CRM integration,No reliable PMS/booking-engine integration and/or inability to meet Swiss/GDPR data residency requirements.,"Lead with a CHF-ROI pilot: commit to named PMS/booking-engine integrations with a 30-day integration SLA, Swiss-hosted data, and a baseline/measurement plan. Propose a 60–90 day pilot launching in shoulder season, with monthly opt-out and optional performance-based tranche post-pilot. Bring a Swiss alpine luxury reference, a live dashboard demo with compset alerts, and a workflow showing <2 hours/week of team time. Include an ROI calculator converting % direct-share gains into CHF and outline exact data/privacy documentation for legal signoff.",high,high,"deal_killer: GM=""No reliable PMS/booking-engine integration and/or inability to meet Swiss/GDPR data residency requirements."" vs CM=""No reliable PMS/booking engine integration to attribute impact and prove direct booking uplift within the pilot window."""
49,hotel-frutt-mountain-resort,Frutt Mountain Resort,Melchsee-Frutt,4,114,625.1,upper_upscale,17687079,46,40,18,65,1000_2000,"Seasonality-adjusted 90-day pilot delivering weekly prioritized actions (compset + VoC) with Swiss-hosted data and guaranteed PMS integration, tied to a performance component.","Owner/Finance reluctance to commit to recurring OpEx without low-risk guarantees, compounded by seasonal attribution noise and potential integration delays/costs.",No PMS/CRM integration,No reliable PMS/booking-engine integration for attribution or inability to demonstrate measurable direct revenue uplift within the agreed proof period.,"Propose a 90-day, Swiss-hosted pilot starting just after peak season, with PMS/booking-engine integration, a clear KPI (>=5% direct revenue uplift or conversion gain), weekly action board, white-glove onboarding, and monthly opt-out/performance-backed pricing. Provide a comparable Swiss mountain/wellness reference and a concrete ROI calculator tied to agency spend/time saved.",medium,medium,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No reliable PMS/booking-engine integration for attribution or inability to demonstrate measurable direct revenue uplift within the agreed proof period."" vs CM=""No reliable PMS/booking-engine integration or inability to meet Swiss/EU GDPR hosting requirements."""
50,hotel-glockenhof-zuerich,GLOCKENHOF ZÜRICH,Zürich,4,88,630,upper_upscale,13760208,46,40,19,65,1000_2000,Weekly prioritized commercial actions tied to compset signals and provable direct revenue impact,Attribution credibility for direct revenue uplift (and Finance sign-off tied to it),No PMS/CRM integration,No auditable proof of impact (≥3–5% direct revenue uplift or equivalent conversion lift) within the agreed pilot window or failed PMS integration.,"Propose a 90-day Swiss-hosted pilot at CHF 2.5–3.0k/month with PMS integration included. Define success up front: 3–5% uplift in direct room revenue or a clearly attributable conversion lift on the direct channel, evidenced by an ROI dashboard and audit trail linking actions to outcomes. Deliver 1–3 weekly, low-effort actions (rate moves, targeted offers, content tweaks) plus compset alerts. Bring a Swiss reference, confirm CHF invoicing/VAT and data residency, and involve Finance in the kickoff. Offer monthly opt-out after pilot, white-glove onboarding, and a clear procurement pack (DPA, SLA, security). Time the start for a shoulder period to reduce operational strain.",high,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No auditable proof of impact (≥3–5% direct revenue uplift or equivalent conversion lift) within the agreed pilot window or failed PMS integration."" vs CM=""No reliable PMS/booking-engine integration or no measurable commercial uplift within 60–90 days."""
51,hotel-grand-hotel-belvedere,Grand Hotel Belvedere,Wengen,5,90,261.62,luxury,5844068,46,42,18,65,1000_2000,"Weekly, PMS‑tied action dashboard that protects ADR/occ and saves the team from hiring, backed by Swiss luxury references and Swiss hosting.",Owner ROI skepticism at CHF 3–5k plus PMS/CRS integration and Swiss‑hosting due diligence timelines.,Cannot prove attribution / ROI,Inability to demonstrate measurable uplift in direct bookings or RevPAR within the agreed proof period.,"Propose a Swiss‑hosted, 60‑day pilot scheduled for a shoulder season. Start with read‑only PMS/booking‑engine integration and deliver a live dashboard of weekly prioritized actions, 3 multilingual offer templates, compset alerts, and review intelligence. Include conservative ROI modeling (scenarios tied to 90 rooms/ADR 262), Swiss luxury references, and a pre‑signature integration feasibility check with their PMS. Offer monthly opt‑out and staged/performance pricing after the pilot, plus white‑glove onboarding to minimize staff load.",high,high,"deal_killer: GM=""Inability to demonstrate measurable uplift in direct bookings or RevPAR within the agreed proof period."" vs CM=""No reliable PMS/booking data integration"""
52,hotel-hotel-alex-1,Hotel Alex,Zermatt,4,84,400.98,upper_upscale,8359952,46,41,18,65,1000_2000,"Weekly decision engine that turns data into 4–6 prioritized tasks, tied to PMS/BE data, saving 5–10 hrs/week and targeting +5pp direct-share.",Integration and operational capacity risk: PMS/BE connectivity plus limited team time; owner/finance caution on recurring spend.,No PMS/CRM integration,No credible proof of measurable direct booking uplift and/or inability to integrate reliably with PMS/booking engine.,"Propose a 60-day pilot scheduled immediately after peak season to reduce disruption. Commit to Swiss/GDPR hosting, white-glove onboarding, and direct PMS/booking-engine integration before week 2. Deliver a live dashboard with a weekly action list (4–6 tasks), compset/pricing alerts tuned to Zermatt seasonality, and multilingual (DE/EN) campaign/content templates. Define success as +5pp direct-share (or 10% relative) and 5–10 hrs/week time saved, verified via PMS/BE data. Provide two Swiss luxury/mountain references and an ROI calculator translating a 5pp shift into commission savings. Mitigate risk with monthly opt-out post-pilot and a capped one-time setup fee. Secure day-to-day ownership with the Head of Revenue, with GM/Owner as executive sponsor.",high,medium,"deal_killer: GM=""No credible proof of measurable direct booking uplift and/or inability to integrate reliably with PMS/booking engine."" vs CM=""No reliable PMS/booking-engine integration to support clean attribution and automated actions."""
53,hotel-hotel-banana-city,Hotel Banana City,Winterthur,4,100,348.82,upper_upscale,8657712,46,40,18,65,1000_2000,"Start with a Measurement & Baseline Sprint to wire PMS/BE data and GA4, then deliver weekly prioritized actions for high-value conference weeks; prove quick RevPAR/direct-booking wins in 60 days.","Owner/CFO proof-and-privacy requirements (no direct baseline, need Swiss hosting and local references) causing extended approval cycles.",No PMS/CRM integration,No reliable PMS/CRS integration and inability to prove measurable direct‑booking uplift within a short pilot.,"Lead with a Swiss-compliant, proof-first pilot. Propose a 60–90 day pilot focused on shoulder weekdays with a clear KPI: +10% relative lift in direct booking share or measurable incremental direct revenue vs. baseline. Week 0–2: baseline creation (GA4 + booking engine tagging) and privacy docs. Week 2–6: PMS/CRS integration and live dashboard; deliver German/English weekly action board (rates, packages, business/conference offers) and compset alerts. Provide two Swiss conference/business references, GDPR/Suisse hosting, and white‑glove onboarding. Frame budget as a reallocation from agency/manual time; include monthly opt‑out and a light performance component to de‑risk. Secure GM as champion and book an Owner/CFO review once baseline and references are in hand.",medium,medium,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No reliable PMS/CRS integration and inability to prove measurable direct‑booking uplift within a short pilot."" vs CM=""No reliable PMS/booking-engine data integration to establish baseline and measure ROI."""
54,hotel-hotel-de-la-cigogne,Hôtel de la Cigogne,Genève,5,49,462.1,luxury,5619968,46,41,20,68,1000_2000,Low-lift 90-day Swiss-hosted pilot that proves direct-revenue impact via PMS attribution and replaces agency/manual hours with clear weekly actions.,Lack of current direct-booking infrastructure (PMS/booking engine/channel manager frictions) plus owner conservatism on rate/offer tests and new vendor spend.,No PMS/CRM integration,No reliable PMS/booking engine integration and inability to validate incremental direct-booking uplift or guarantee Swiss/GDPR-compliant hosting.,"Start with a no-regrets integration and attribution diagnostic (PMS + booking engine + channel manager) and GDPR/Suisse hosting confirmation; propose a 90-day Swiss-hosted pilot at the CHF 1.8–2.3k band with monthly opt-out, white-glove onboarding, and a clear success metric (≥8–10% direct revenue uplift or equivalent OTA mix shift). Present 1–2 Swiss luxury references, an ROI calculator tied to their ADR/occupancy, and a weekly action plan that replaces agency/manual reporting. Secure early owner sign-off on scope, data access, and decision rights for pricing/offers during the pilot.",medium,medium,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""No reliable PMS/booking engine integration and inability to validate incremental direct-booking uplift or guarantee Swiss/GDPR-compliant hosting."" vs CM=""No reliable PMS/booking-engine integration and attribution proving direct-channel revenue uplift."""
55,hotel-hotel-des-innovations,Hôtel des Innovations,Marly,4,167,277.1,business_conference,11485629,46,42,16,62,1000_2000,"Weekly decision engine that turns compset, review, and booking signals into 5 prioritized actions with ready-to-use FR/EN copy — replacing manual spreadsheets and avoiding an additional hire.","Owner risk aversion combined with limited team bandwidth; if execution lags or attribution is unclear, recurring SaaS spend will be delayed or declined.",No PMS/CRM integration,No reliable PMS/booking engine integration or non-compliant (non‑Swiss/GDPR) data hosting.,"Propose a phased, Swiss-hosted 60-day pilot aligned to their conference calendar: Phase 1 (weeks 1–3) read-only PMS/BE integration + live dashboard demo + ROI baseline; Phase 2 (weeks 4–8) weekly Top-5 action board with FR/EN content, compset event triggers, and white-glove onboarding. Include Swiss references, clear KPI guardrails (direct revenue vs baseline), a simple ROI calculator, and monthly opt-out. Position it as replacing part of agency/junior-hire costs and reducing GM/RM manual time.",high,high,"deal_killer: GM=""No reliable PMS/booking engine integration or non-compliant (non‑Swiss/GDPR) data hosting."" vs CM=""No reliable PMS/booking‑engine integration and inability to prove measurable direct‑booking uplift within the pilot window."""
56,hotel-hotel-schweizerhof-1,Hotel Schweizerhof,Zermatt,4,95,294.21,upper_upscale,6937178,46,41,18,64,1000_2000,A Zermatt-tuned weekly commercial action list + compset alerts that saves 6–10 hours/week and measurably lifts direct bookings without adding headcount.,"Attribution uncertainty due to seasonality and channel noise, compounded by integration timing and Finance sign-off requirements.",No PMS/CRM integration,Inability to integrate reliably with PMS/booking engine and/or provide Swiss/GDPR-compliant hosting,"Propose a 60-day, attribution-safe pilot scheduled for a shoulder season. Include: (1) confirmed certified PMS/BE integration plan and timeline; (2) Swiss/GDPR hosting letter; (3) measurement design with holdout/control or synthetic baseline to isolate uplift; (4) weekly action plan focused on direct bookings and compset-driven rate moves; (5) two Swiss alpine references. Price the pilot at CHF 2k with integration fees credited to an annual plan at CHF 3k if KPIs met (e.g., +5 pp direct share or ≥10% direct-revenue lift). Offer white-glove onboarding and a monthly opt-out after pilot to reduce perceived risk.",medium,high,"price_band: GM=1000_2000 vs CM=2000_3000 | deal_killer: GM=""Inability to integrate reliably with PMS/booking engine and/or provide Swiss/GDPR-compliant hosting"" vs CM=""No reliable PMS/CRM (and booking engine) integration preventing attribution and automated insights."""
57,hotel-hotel-steffani,Hotel Steffani,St. Moritz,4,61,461.29,upper_upscale,6984023,46,40,19,65,1000_2000,"90-day Swiss-hosted pilot tied to direct-booking KPIs, light PMS/BE integration, Swiss luxury references, and risk-reversal (monthly opt-out or partial performance pricing).",Finance/owner attribution skepticism plus integration lead times and existing vendor contracts.,No PMS/CRM integration,No reliable PMS/booking-engine integration preventing credible attribution to direct bookings.,"Propose a Swiss-hosted, attribution-first 60-day pilot starting in shoulder season with direct PMS/booking engine integration. Commit to a weekly “do-this” list tailored to families/ski/wellness segments, include a ROI model accepted by finance, performance-pricing option for amounts >3k, and two Swiss luxury references. Position budget as replacing part of agency/compset tooling and reducing management time; include DPA and data-hosting docs up front.",medium,medium,"deal_killer: GM=""No reliable PMS/booking-engine integration preventing credible attribution to direct bookings."" vs CM=""No measurable uplift in direct bookings within the pilot window or inability to meet Swiss/GDPR-compliant data handling and PMS/BE integration."""
58,hotel-huus-gstaad-hotel,HUUS Gstaad Hotel,Saanen,4,136,347.19,upper_upscale,11719468,46,41,18,65,1000_2000,"Translate PMS + booking engine + compset data into a single weekly action list that cuts manual reporting time and ties tasks to direct‑booking impact, delivered with Swiss‑hosted compliance and a shoulder‑season 60–90 day pilot.",Owner/finance insistence on guaranteed ROI/attribution and resistance to recurring SaaS; integration lead-times with PMS/channel manager plus Swiss hosting/legal reviews.,No PMS/CRM integration,No possible integration with the PMS/channel manager (cannot reliably read bookings or rate/availability data).,"Propose a Swiss-hosted, GDPR-compliant 60–90 day performance pilot starting in a shoulder season, with clear KPI: +5% direct share or equivalent direct revenue uplift, weekly action plan delivery, and consolidated compset insights; include PMS/CM integration checklist, white‑glove onboarding, local Swiss luxury references, revenue-share or performance pricing during pilot, monthly opt-out post-pilot, and option to replace overlapping agency/compset tools to keep net-new spend minimal.",medium,medium,"deal_killer: GM=""No possible integration with the PMS/channel manager (cannot reliably read bookings or rate/availability data)."" vs CM=""pms_crm_integration"""
59,hotel-la-reserve-geneve-hotel-spa-and-villa,"La Réserve Genève Hotel, Spa and Villa",Bellevue,5,102,578.82,luxury,14653639,46,41,18,65,1000_2000,"A weekly, attribution-backed commercial playbook that unifies compset shifts, guest sentiment, and multilingual content into 3–5 prioritized actions, with Swiss hosting and proven Opera/CRS integrations for Swiss luxury peers.","Finance/owner insistence on clear, attributable direct revenue lift and concerns about overlap with RMS/commercial stack; integration timelines with PMS/CRS.",No PMS/CRM integration,Inability to reliably integrate with PMS/CRS/booking engine and attribute direct revenue uplift.,"Lead with Swiss luxury references and a live dashboard demo, then propose a 90-day production pilot focused on direct conversion for two priority source markets, with pre-signed integration milestones and Swiss hosting. Position the tool as complementary to RMS, funded by reallocating specific agency/content spend, and include white-glove onboarding plus an ROI calculator and monthly opt-out after the pilot.",high,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""Inability to reliably integrate with PMS/CRS/booking engine and attribute direct revenue uplift."" vs CM=""No Swiss/GDPR-compliant data handling/hosting or inability to integrate reliably with PMS/CRS for attribution."""
60,hotel-le-mirador-resort-spa,Le Mirador Resort & Spa,Le Mont-Pèlerin,5,64,433.58,luxury,6887332,46,44,16,67,2000_3000,PMS-integrated 90-day pilot proving attributable uplift in direct bookings with a weekly action board; backed by Swiss luxury references and Swiss-hosted data.,Owner/CFO risk tolerance requiring in-market luxury references plus PMS integration slippage and legal/DPAs for Swiss/GDPR hosting.,No PMS/CRM integration,No reliable PMS/booking engine integration or inability to meet Swiss/GDPR hosting requirements.,"Lead with Swiss luxury case studies and a live demo on their PMS/booking engine data model. Offer a 90-day pilot with Swiss/GDPR hosting, white-glove onboarding, and an attribution plan defining baselines, control periods, and success thresholds (e.g., +5 pp direct share or +8% direct revenue). Price in the 2–3k band by offsetting agency copy/reputation spend; include monthly opt-out after pilot, and commit to a clear integration timeline and owner-ready ROI reporting.",medium,medium,"deal_killer: GM=""No reliable PMS/booking engine integration or inability to meet Swiss/GDPR hosting requirements."" vs CM=""No reliable PMS/booking engine integration enabling provable attribution of direct revenue uplift."""
61,hotel-lenkerhof-gourmet-spa-resort,Lenkerhof gourmet spa resort,Lenk im Simmental,5,83,598.21,luxury,12323485,46,43,17,67,1000_2000,"A data-to-actions engine that consolidates compset and review intelligence into a single weekly one-page plan focused on lifting shoulder-season direct revenue, integrated to PMS/BE for measurable impact.",Owner sign-off plus change-management bandwidth; added by Swiss-hosting and integration requirements increasing timeline and perceived risk.,No PMS/CRM integration,No secure Swiss/EU data hosting or inability to integrate with PMS/booking engine.,"Propose a 90-day, shoulder-season pilot focused on direct revenue uplift from rooms only (exclude F&B/Spa to avoid brand conflicts). Deliver: (1) Swiss-hosted, GDPR-compliant environment; (2) light PMS/BE integration for baseline and goal tracking; (3) weekly one-page action plan with forecasted impact; (4) DE/EN brand-safe content snippets; (5) white-glove onboarding with AM. Price at CHF 3k/month during pilot with milestone check-ins; offer performance kicker or credit if uplift targets are missed. Provide Swiss luxury references, a live dashboard demo, and an ROI calculator tied to their current direct-share. Commit to a 4–6 week implementation window and align start to their low season to reduce operational risk.",high,high,"deal_killer: GM=""No secure Swiss/EU data hosting or inability to integrate with PMS/booking engine."" vs CM=""No credible PMS/booking engine integration or inability to demonstrate measurable revenue uplift within the agreed pilot window."""
62,hotel-mandarin-oriental-geneva,Mandarin Oriental Geneva,Genève,5,178,770.17,luxury,34025803,46,43,20,70,2000_3000,"Position as a non-overlapping decision layer that consolidates existing MOHG tools; propose a Swiss-hosted, read-only Opera/SynXis integration and a 90-day pilot focused on weekly GM-ready actions and measurable direct revenue uplift.","Mandarin Oriental Group procurement/IT/brand governance and tool overlap risk (integration, security, and brand-compliance gatekeeping).",No PMS/CRM integration,Inability to integrate securely with PMS/CRS or to meet Swiss/GDPR data-handling requirements (including DPA and security review).,"Lead with an enterprise-safe, Swiss-hosted 90-day pilot scoped to Geneva luxury compset + voice-of-customer insights that generate weekly, brand-safe commercial actions. Start with read-only PMS/CRS integration for clean attribution, provide security/DPA pack up front, and show 1–2 Swiss luxury references. Anchor pricing against displaced agency/compset/reputation spend, include white-glove onboarding, and offer a performance-linked element on direct revenue uplift. Proactively brief MO Group stakeholders and map data exports to existing group reporting to avoid duplication concerns.",low,medium,"price_band: GM=3000_5000 vs CM=2000_3000 | deal_killer: GM=""Inability to integrate securely with PMS/CRS or to meet Swiss/GDPR data-handling requirements (including DPA and security review)."" vs CM=""inability_to_integrate_with_our_pms_crs_and_brand_systems_or_refusal_to_enter_required_data_sharing_agreements"""
63,hotel-mandarin-oriental-savoy,Mandarin Oriental Savoy,Zürich,5,80,728.61,luxury,14467280,46,43,19,70,1000_2000,"Position as a complementary decision layer that consolidates brand tools + local compset + voice-of-customer into a weekly action memo, replacing manual spreadsheets without touching RMS or brand dashboards.",Mandarin Oriental corporate procurement/IT-security requirements and overlap with brand-provided RMS/analytics/reputation tools.,No PMS/CRM integration,No reliable integration with PMS and revenue management systems (insights not tied to our actual booking/occupancy data).,"Lead with compliance and non-duplication. Request a 30-minute executive briefing for GM + Director of Revenue + Regional/IT to map where the platform complements MO’s stack. Present a certified Opera/CRS integration path, Swiss/GDPR hosting option, and a Swiss luxury reference. Propose a 90-day pilot scheduled post-peak with pre-approved KPIs (direct share or conversion), monthly opt-out, white-glove onboarding, and a clear data-processing pack upfront. Emphasize that outputs land as a weekly, brand-safe action list rather than another dashboard, and commit to sharing results in MO corporate reporting formats.",low,low,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No reliable integration with PMS and revenue management systems (insights not tied to our actual booking/occupancy data)."" vs CM=""No PMS/CRM/booking-engine integration approval or non-compliant (non-GDPR/Swiss) data hosting."""
64,hotel-morosani-schweizerhof,Morosani Schweizerhof,Davos Platz,4,100,421.35,upper_upscale,10457907,46,40,20,65,1000_2000,"A 60–90 day Swiss-hosted attribution pilot tied to PMS/booking-engine data, producing weekly actions and auditable uplift vs. a holdout baseline.",Insufficient internal capacity to execute recommendations consistently.,No PMS/CRM integration,"No reliable PMS/CRS integration providing booking, rate, and availability data for attribution and recommendations.","Propose a 60-day Swiss-hosted pilot scheduled for a shoulder period, with pre-validated PMS integration and clear KPIs: +5% direct revenue or +3 pp direct share, weekly DE/EN action list, and compset alerts around Davos event periods. Offer white-glove onboarding, reference from a comparable Swiss premium property, a simple ROI calculator, and a monthly opt-out after the pilot to de-risk overlap with current tools.",medium,high,"deal_killer: GM=""No reliable PMS/CRS integration providing booking, rate, and availability data for attribution and recommendations."" vs CM=""No reliable PMS/CRS integration capability or inability to meet Swiss/GDPR hosting requirements."""
65,hotel-pradas-resort,Pradas Resort,Breil/Brigels,4,83,277.1,serviced_apartments,5708426,46,42,18,65,1000_2000,clearer_weekly_decisions,Integration complexity with PMS/booking engine and owner’s caution on recurring spend creating extra workload without clear attribution,No PMS/CRM integration,No reliable PMS/booking-engine integration or inability to attribute uplift during the pilot,"Propose a Swiss-hosted, privacy-first 60-day pilot timed to a near-term demand window (e.g., school holidays). Start integration-light (read-only PMS/BE feed + GA4) to prove attribution fast. Include white-glove onboarding, a ROMANSH-friendly content option, and two Swiss mountain references. Commit to weekly action emails, a direct-share KPI, and monthly opt-out; offer performance-linked renewal to de-risk owner signoff.",medium,medium,"deal_killer: GM=""No reliable PMS/booking-engine integration or inability to attribute uplift during the pilot"" vs CM=""No measurable improvement in direct bookings or direct revenue within the agreed pilot window."""
66,hotel-seerose-resort-spa,Seerose Resort & Spa,Meisterschwanden,4,90,381.42,upper_upscale,8520160,46,42,18,68,1000_2000,Time-saving weekly commercial action engine (pricing/compset + content + review intelligence) that replaces spreadsheets/agency overhead and ties to direct booking KPIs.,"Owner skepticism of recurring SaaS without rock-solid, auditable proof of incremental direct bookings; compounded by PMS/BE integration drag.",No PMS/CRM integration,"Inability to deliver auditable, measurable uplift in direct bookings/room revenue within the agreed proof window or refusal/failure to integrate with PMS/booking data.","Lead with a scoped, KPI-tied 60–90 day pilot starting in shoulder season: commit to Swiss/GDPR hosting, a clear integration plan with their PMS/BE, and an auditable attribution framework. Provide a Swiss premium-resort reference, a weekly GM brief (“do-this-now” list), and performance-linked terms (e.g., clawback/performance component) to address Owner risk. Emphasize time saved vs. agencies/spreadsheets and measurable lift in direct share, not generic AI features.",high,high,"deal_killer: GM=""Inability to deliver auditable, measurable uplift in direct bookings/room revenue within the agreed proof window or refusal/failure to integrate with PMS/booking data."" vs CM=""No reliable integration with the PMS/booking engine to access booking/revenue data for attribution."""
67,hotel-villars-palace,Villars Palace,Villars-sur-Ollon,5,125,406.68,luxury,12617247,46,40,18,65,1000_2000,"Shoulder-season, Swiss-hosted PMS-integrated pilot that delivers a weekly “3 actions” list and replaces fragmented review/compset tools, with auditable direct-booking attribution.",CFO/owner risk aversion combined with legal/IT requirements for Swiss data residency and the complexity of two-way PMS/CRM integration.,No PMS/CRM integration,No two-way PMS/CRM integration and lack of GDPR-compliant Swiss/EU data residency.,"Lead with a Swiss-hosted, integration-first 60–90 day pilot scheduled for a shoulder season. Start with a quick technical pre-check for PMS/BE/analytics connectors and share a data-processing/Swiss-hosting pack up front. Define success as +3–5 pp direct-share or equivalent OTA commission reduction with a clear baseline and dashboard access. Include white-glove onboarding and weekly co-pilot sessions to absorb team bandwidth. Provide Swiss luxury references and a performance/opt-out clause to de-risk CFO concerns.",medium,medium,"deal_killer: GM=""No two-way PMS/CRM integration and lack of GDPR-compliant Swiss/EU data residency."" vs CM=""No reliable PMS/IBE integration or inability to access booking/conversion data for attribution and recommendations."""
68,hotel-zuerich-marriott-hotel,Zürich Marriott Hotel,Zürich,5,266,506.93,luxury,33468127,46,43,18,70,2000_3000,"RMS-aligned weekly commercial action engine that ties compset shifts and guest sentiment to measurable direct-revenue outcomes, delivered with Swiss/GDPR hosting and a non-intrusive, export-based integration path.",Marriott corporate procurement/IT-security and brand compliance approvals that restrict data access and delay or veto integration.,No PMS/CRM integration,No viable integration path that meets Marriott brand security/compliance or an inability to access PMS/CRS/BE data under corporate rules.,"Lead with security and fit: show proven PMS/CRS/BE data-ingest options that respect Marriott governance, Swiss/GDPR hosting, and a read-only pilot that requires no PII or rate-control changes. Engage the Regional Commercial Director early, frame the product as a decision layer atop existing Marriott/RMS tools, and target a 60–90 day pilot with clear success criteria (direct-channel +5%, weekly action adherence, compset-driven wins). Offer white-glove onboarding, a lightweight DPIA/infosec pack, Swiss luxury/urban references, and a performance/opt-out clause to de-risk procurement timelines.",low,low,"deal_killer: GM=""No viable integration path that meets Marriott brand security/compliance or an inability to access PMS/CRS/BE data under corporate rules."" vs CM=""No secure, approved integration path with Marriott systems or failure to meet Marriott/Swiss GDPR data-security requirements."""
69,hotel-alpen-resort-hotel-spa,Alpen Resort Hotel & Spa,Zermatt,4,55,798.7,luxury,10903054,45,39,19,66,1000_2000,"90‑day PMS‑integrated pilot focused on alpine seasonality that delivers a weekly decision engine and multilingual content, targeting ≥5% direct revenue uplift and 6–10 hours/week time saved.","Owner’s reluctance to add a CHF 3k–5k recurring cost without airtight attribution, plus hidden integration/TCO concerns and potential RMS/agency overlap pushback.",No PMS/CRM integration,No credible proof of direct booking uplift or inability to integrate with our PMS/booking flow,"Propose an off‑peak (Apr/May) 90‑day pilot with Swiss hosting and turnkey PMS/BE integration. Align on a measurable KPI (≥5% direct revenue uplift or defined CHF target) plus a time‑savings metric, include a ROI calculator, Swiss luxury reference, white‑glove onboarding, and a monthly opt‑out after the pilot. Position budget as a partial replacement for agency/reputation/compset spend rather than net new.",high,medium,"deal_killer: GM=""No credible proof of direct booking uplift or inability to integrate with our PMS/booking flow"" vs CM=""Inability to deliver Swiss/GDPR-compliant PMS/BE integration and prove net incremental direct revenue within a high-season pilot."""
70,hotel-ameron-zuerich-bellerive-au-lac,AMERON Zürich Bellerive au Lac,Zürich,4,61,799.51,luxury,12104741,45,42,15,65,1000_2000,"Attribution‑first 60–90 day pilot focused on shoulder nights: integrate PMS/booking engine, run direct‑only offers and compset‑driven rate experiments on low‑demand weekdays with holdout/control groups, and report net‑new direct revenue to the GM/Owner.",Attribution skepticism and corporate/IT procurement requirements (AMERON/owner group) slowing integrations and approvals.,Cannot prove attribution / ROI,No measurable uplift in direct bookings or conversion within the agreed proof period.,"Lead with an attribution-first 60-day pilot: Swiss-hosted, read-only start in week 1, then PMS/CRS integration scheduled with a fixed timeline. Define success upfront (>=8–10% direct revenue lift or +3–5pp direct share, plus 2–4 hours/week time saved) and provide a weekly GM/RM action list. Include Swiss luxury references, a GDPR/FADP data pack, and performance-pricing or monthly opt-out post-pilot to de-risk owner approval. Emphasize complementing existing brand tools (not replacing RMS) and replacing selected agency/content spend if proof hits.",medium,medium,"deal_killer: GM=""No measurable uplift in direct bookings or conversion within the agreed proof period."" vs CM=""No reliable PMS/CRS or booking‑engine integration (or nightly feed) and/or inability to prove measurable, non‑cannibalized direct‑booking uplift within the pilot window."""
71,hotel-fairmont-grand-hotel-geneva,Fairmont Grand Hotel Geneva,Genève,5,412,741.65,luxury,75839942,45,40,20,70,2000_3000,"Position as a light-touch ‘data-to-actions’ layer on top of OPERA/Accor stack: certified read-only integrations, actionable compset signals and weekly RM/marketing tasks with multilingual content—measured on direct revenue/OTA shift—no RMS replacement or policy conflicts.",Accor/Fairmont centralized procurement and IT/security approvals that limit or delay integrations and may duplicate existing brand tools.,No PMS/CRM integration,Brand/Accor refusal to approve required PMS/CRS data flows or inability to demonstrate measurable direct-revenue uplift within the proof window.,"Lead with a brand-safe pilot. Offer Swiss-hosted/GDPR deployment, read-only PMS/RMS data ingestion (no parity violations), and a 60–90 day pilot with monthly opt-out. Anchor ROI to a 5% direct-revenue uplift and reduced manual spreadsheet time, not broad marketing claims. Provide a Geneva/Swiss luxury reference and confirm coexistence with Accor systems. Pre-clear a minimal-integration path (reports/SFTP if APIs are gated), outline total cost including Opera/IDeaS/API fees, and secure early involvement from DoRM + GM + Owner Rep + brand IT/security. Position budget as partial replacement of agency/reputation/compset tooling and management time rather than net-new spend.",low,low,"price_band: GM=3000_5000 vs CM=2000_3000 | deal_killer: GM=""Brand/Accor refusal to approve required PMS/CRS data flows or inability to demonstrate measurable direct-revenue uplift within the proof window."" vs CM=""No OPERA/Accor-approved PMS/CRS/CRM integration or inability to guarantee Swiss/EU-compliant data hosting and brand policy alignment."""
